name,name,mk_avg_price,mk_price,buff_price,spread,sales
33996,AUG | Bengal Tiger (Factory New),3976.446364,4053.58,3342.12,7.38,21
34102,AWP | Man-o'-war (Minimal Wear),2886.924848,3517.13,2496.83,4.35,67
38799,StatTrak™ M4A1-S | Chantico's Fire (Battle-Scarred),3588.255,3959.27,3122.72,3.7,32
775717,StatTrak™ SSG 08 | Bloodshot (Field-Tested),2027.36,2100.2,1768.78,3.44,29
42191,USP-S | Neo-Noir (Factory New),3208.554643,3220.29,2811.79,2.98,38
927387,FAMAS | Waters of Nephthys (Battle-Scarred),3869.53625,5514.35,3394.07,2.89,56
921609,StatTrak™ AK-47 | Head Shot (Well-Worn),2558.757273,2630.41,2247.82,2.73,37
39304,StatTrak™ P90 | Asiimov (Battle-Scarred),1573.198571,1810.35,1390.82,2.08,50
759299,StatTrak™ M4A1-S | Nightmare (Battle-Scarred),1526.095,1569.52,1352.6,1.83,68
36387,SCAR-20 | Cyrex (Field-Tested),3336.105,3361.63,2973.18,1.27,21
39748,StatTrak™ USP-S | Neo-Noir (Battle-Scarred),3165.121,3238.6,2822.02,1.22,22
38163,StatTrak™ AK-47 | Blue Laminate (Minimal Wear),2649.44,2674.94,2367.08,1.02,23
775790,Dual Berettas | Emerald (Factory New),2700.0,3016.76,2422.8,0.58,62
38297,StatTrak™ AWP | Elite Build (Well-Worn),2017.0,2044.0,1816.97,0.19,32
773764,StatTrak™ FAMAS | Commemoration (Field-Tested),2547.9045,2674.76,2300.58,-0.05,27
35239,M4A1-S | Mecha Industries (Field-Tested),2213.339756,2227.51,1998.81,-0.06,54
38905,StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested),1558.671667,1697.71,1413.03,-0.45,24
34101,AWP | Man-o'-war (Field-Tested),2786.198049,3758.8,2538.56,-0.95,41
35383,MAC-10 | Fade (Factory New),2840.052308,4000.0,2589.3,-1.01,50
36534,SSG 08 | Blood in the Water (Minimal Wear),3566.69873,3656.06,3257.32,-1.18,71
763419,StatTrak™ Desert Eagle | Mecha Industries (Factory New),1822.026154,1914.03,1668.91,-1.47,21
34098,AWP | Hyper Beast (Well-Worn),1668.795526,1778.39,1534.31,-1.84,40
871709,Glock-18 | Gamma Doppler (Battle-Scarred),3358.841111,3609.78,3095.8,-2.08,37
759561,StatTrak™ Desert Eagle | Code Red (Battle-Scarred),3194.7444,3649.86,2947.74,-2.19,28
857714,StatTrak™ USP-S | The Traitor (Well-Worn),2123.23,2227.7,1965.03,-2.48,26
38433,StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested),3299.64,3299.64,3055.02,-2.52,58
921603,M4A4 | Temukau (Well-Worn),1614.79,1673.09,1496.48,-2.61,45
762216,SG 553 | Integrale (Field-Tested),1661.28,1740.66,1547.9,-3.14,30
759245,Desert Eagle | Code Red (Minimal Wear),2700.0,2700.0,2516.89,-3.18,24
38199,StatTrak™ AK-47 | Neon Revolution (Battle-Scarred),3150.0,3669.11,2946.12,-3.5,24
35183,M4A1-S | Bright Water (Minimal Wear),2111.24,2247.88,1978.62,-3.7,28
42184,USP-S | Kill Confirmed (Well-Worn),3091.781333,3312.35,2899.28,-3.76,215
35210,M4A1-S | Golden Coil (Well-Worn),3156.926061,3370.56,2960.93,-3.78,37
34742,Five-SeveN | Hyper Beast (Battle-Scarred),1968.728333,2184.99,1851.83,-4.05,48
34332,CZ75-Auto | The Fuschia Is Now (Field-Tested),1796.49,2067.48,1693.13,-4.24,28
35220,M4A1-S | Hyper Beast (Field-Tested),1668.145,1771.57,1573.47,-4.32,116
34286,CZ75-Auto | Emerald (Factory New),2198.2175,2500.65,2075.53,-4.42,25
775447,AWP | Containment Breach (Battle-Scarred),3431.24,3999.0,3243.73,-4.53,80
33980,AK-47 | Wasteland Rebel (Field-Tested),2000.0,2230.22,1891.13,-4.55,136
835421,M4A4 | Global Offensive (Field-Tested),1511.758,1533.33,1430.8,-4.64,23
39430,StatTrak™ R8 Revolver | Fade (Field-Tested),1942.075,1947.8,1843.89,-4.94,28
45469,★ Driver Gloves | Racing Green (Field-Tested),3752.978333,3957.0,3566.9,-5.04,299
